Domain Code,Domain,Area Code (M49),country,Element Code,element,Item Code (CPC),item,Year Code,year,Months Code,month,unit,value,flag,flag_description,iso3,is_imputed,is_outlier
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2011,2011,7021,Annual value,LCU,2400.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,7021,Annual value,LCU,2875.6,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1991,1991,7021,Annual value,LCU,632.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1992,1992,7021,Annual value,LCU,852.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1993,1993,7021,Annual value,LCU,804.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1994,1994,7021,Annual value,LCU,774.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1995,1995,7021,Annual value,LCU,852.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1996,1996,7021,Annual value,LCU,1090.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1997,1997,7021,Annual value,LCU,1070.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1998,1998,7021,Annual value,LCU,880.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,1999,1999,7021,Annual value,LCU,960.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2000,2000,7021,Annual value,LCU,856.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2001,2001,7021,Annual value,LCU,870.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2002,2002,7021,Annual value,LCU,1090.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2003,2003,7021,Annual value,LCU,1170.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2004,2004,7021,Annual value,LCU,1440.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2005,2005,7021,Annual value,LCU,1620.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2006,2006,7021,Annual value,LCU,1300.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2007,2007,7021,Annual value,LCU,1790.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2008,2008,7021,Annual value,LCU,1840.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2009,2009,7021,Annual value,LCU,1840.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2010,2010,7021,Annual value,LCU,1520.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2011,2011,7021,Annual value,LCU,1990.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2012,2012,7021,Annual value,LCU,1610.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2013,2013,7021,Annual value,LCU,1528.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2014,2014,7021,Annual value,LCU,1626.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2015,2015,7021,Annual value,LCU,1883.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2016,2016,7021,Annual value,LCU,1753.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2017,2017,7021,Annual value,LCU,1631.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2018,2018,7021,Annual value,LCU,1829.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2019,2019,7021,Annual value,LCU,1934.0,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2020,2020,7021,Annual value,LCU,2063.3,A,Official figure,AUS,False,False
PP,Producer Prices,36,Australia,5530,Producer Price (LCU/tonne),01341,Apples,2021,2021,7021,Annual value,LCU,2547.4,A,Official figure,AUS,False,False
