date,ffpi_food,ffpi_meat,ffpi_dairy,ffpi_cereals,ffpi_oils,ffpi_sugar,year,month_num
1990-01-01,64.44420125310373,74.27221861584282,53.503030646053276,64.14060719081644,44.587671677568544,87.8778326003819,1990,1
1990-02-01,64.72829920397912,76.7810272659876,52.21863389605399,62.22237673255094,44.500513544818645,90.66269349264753,1990,2
1990-03-01,64.03302114204409,78.54398284481856,41.36712316595473,61.259884069034236,45.74543383749023,95.05658512266663,1990,3
1990-04-01,66.01599737592298,81.19003533231762,48.42706836787633,62.820730949963284,44.01709379460838,94.3139555513958,1990,4
1990-05-01,64.63284435387263,81.7566786696439,39.18965099904081,61.982825720788554,45.49963146039051,90.35326450461801,1990,5
1990-06-01,64.07706012822378,84.18540663550007,39.18965099904081,60.712342339097134,43.796409859622884,80.26587949485588,1990,6
1990-07-01,62.91998946651446,84.51372416047177,39.18965099904081,57.85828505844381,43.72101633476418,74.2010713294774,1990,7
1990-08-01,61.769378686222105,84.51223681844883,36.82668580973191,55.682997635796774,45.36713887213962,67.64117678325171,1990,8
1990-09-01,61.32298077588783,85.50240588296593,38.1407918468543,52.47912529514937,44.78833017702642,68.50757794973434,1990,9
1990-10-01,61.35648850817644,86.17955869735478,38.909823591120755,52.799538950352975,45.717846037751414,60.7718532489965,1990,10
1990-11-01,62.34599499476118,87.62688045641903,39.43676874325532,52.429687560550434,48.300807051246544,62.31899818914407,1990,11
1990-12-01,62.16502041957371,84.382777868969,45.05501561766954,52.56861542603722,49.59540504328934,60.27676686814928,1990,12
1991-01-01,61.030865662672035,80.50427202624263,46.92070963407617,53.705491491745136,49.473591996921414,54.45950189319443,1991,1
1991-02-01,61.7534391188243,82.35475961517913,46.65752883253141,55.24952253602159,48.416956187370936,52.66481376262324,1991,2
1991-03-01,62.304139288272296,81.64883486545102,45.76018118465212,57.25986681470819,48.747335651276664,56.56361901179512,1991,3
1991-04-01,61.03838621497094,80.4959881765492,42.79199951501374,57.6127936154178,47.002188240644706,52.66481376262324,1991,4
1991-05-01,60.83854252338601,81.98952785648359,42.140462449076296,57.179338413133095,46.561835092860534,46.90943458527428,1991,5
1991-06-01,61.335241787450066,81.2924633711682,43.3948057592839,56.53805755061471,46.732637933074166,56.93493379743053,1991,6
1991-07-01,62.17175052221425,83.57080470124646,40.36313737292074,55.73938698363804,48.216365377138494,63.80425733168574,1991,7
1991-08-01,61.76616360568183,80.42898602384632,41.690685551350015,58.26121974835113,48.808788174443436,58.54396453518401,1991,8
1991-09-01,62.398772568362006,80.6213356634535,45.39967221247758,58.815397133558676,48.58233102844784,57.491905975883654,1991,9
1991-10-01,64.53902335753057,83.03536476235672,48.80605063344041,60.57002749996583,51.133118012345534,56.4398474165833,1991,10
1991-11-01,64.62053892014075,82.55831469894026,50.79933694023235,60.75463825840245,51.78614187371813,53.59310072671178,1991,11
1991-12-01,64.34654911189904,79.19535421755846,50.79933694023235,62.680098594520636,52.63416036217578,55.69721784531247,1991,12
1992-01-01,65.0731107172603,80.19573989590063,52.86071556124469,63.94967449356621,52.84386558766816,51.48898360811109,1992,1
1992-02-01,65.90406087689004,81.59152396195513,52.86071556124469,66.45296186482868,51.96145175178613,48.518465323027755,1992,2
1992-03-01,66.45955420793192,82.39765565887026,52.413640981459935,65.8660597760012,54.07727277336676,50.870125632052066,1992,3
1992-04-01,64.7630711143107,78.25015133031349,52.413640981459935,62.972818378378065,53.946584011684514,58.54396453518401,1992,4
1992-05-01,65.07202793710931,78.91287073661671,54.56926001784262,61.99354560084696,54.015659104530336,59.34847990406074,1992,5
1992-06-01,65.92741461551701,78.9228282665326,57.65269491034604,61.81210498996876,54.82149741104158,64.11368631971524,1992,6
1992-07-01,64.74611725942437,79.53885903938904,58.10136873428564,58.54022948269751,51.9280574440076,63.80425733168574,1992,7
1992-08-01,63.147030517506785,78.56823970429744,56.63575119285616,56.09091105816903,51.01625409496726,60.83373904660241,1992,8
1992-09-01,63.807351113899976,78.08124286336097,58.13831532106505,58.311746478652076,52.20311192641495,57.61567757109547,1992,9
1992-10-01,61.822885545984214,74.35867589660144,54.941145047933105,58.19147451391484,52.21723238850873,53.9025297147413,1992,10
1992-11-01,62.65102024797586,76.15656996824619,53.804068973195285,58.79170940275746,53.87625273671777,53.03612854825867,1992,11
1992-12-01,61.333060061947194,73.67310615052175,53.227802858870405,58.51858183423734,52.99671744203535,50.43692504881074,1992,12
1993-01-01,61.59803721047457,73.36436073805417,53.29906433026879,59.054467099252264,53.97808945500464,50.99389722726387,1993,1
1993-02-01,61.433942282848115,72.88117831168282,54.01953403346322,58.05466938640059,54.24469834236562,52.974242750652756,1993,2
1993-03-01,63.16261290883357,76.50280249456254,53.32142500099506,57.765181773012245,53.05125655949961,65.72271705746871,1993,3
1993-04-01,62.82770248607983,75.66909437020111,52.4063683739131,57.333813810208575,52.83402090233954,69.00266433058158,1993,4
1993-05-01,62.4071444294047,75.96536638356086,51.738559368340965,55.37130465361149,51.895579221478485,73.21089856778296,1993,5
1993-06-01,61.80577551607042,78.55362369593362,51.78171079677097,52.843554894478594,51.24333543598992,64.29934371253296,1993,6
1993-07-01,62.24429926958332,78.08865182930259,49.73447146922835,55.791964367902715,53.28307732962024,59.90545208251387,1993,7
1993-08-01,60.85204515175951,74.78561006482482,47.95448586090987,56.554122950003,52.605188613966504,57.80133496391316,1993,8
1993-09-01,61.191069293325825,75.14845001020139,45.06709109550778,58.44481775944709,52.5425489431055,59.03905091603122,1993,9
1993-10-01,61.5282226798441,74.50545851953365,41.00719774282537,61.43366235680169,52.117932752912346,63.680485736473926,1993,10
1993-11-01,63.40427192617021,73.63251840612129,41.23153465479517,66.71699208021664,56.21786455158946,62.628427177173585,1993,11
1993-12-01,64.65773502120396,71.0712806927686,41.836751135124786,68.85850527763641,63.58417550309393,65.10385908140968,1993,12
1994-01-01,64.76507293318467,70.21413465535872,45.50661978610016,68.59867492482681,63.87968094560017,63.74237153407984,1994,1
1994-02-01,64.50547283962102,72.07957257722904,45.448993174667706,66.7974127301927,60.39747837341195,66.96043300958678,1994,2
1994-03-01,64.82642262544296,73.43365575453016,46.01078410599001,64.14992528903272,61.31369661558185,72.65392638932984,1994,3
1994-04-01,64.06123791354507,73.98038894787013,42.32674970048002,62.41540188425502,63.65730388128167,68.13626316409893,1994,4
1994-05-01,65.87418690789974,76.97673407671398,42.32674970048002,61.98985120429409,67.78279328147883,71.66375362763539,1994,5
1994-06-01,65.51214720787513,75.39416287636993,45.12767713667565,60.091321967069334,68.47110669478079,74.57238611511282,1994,6
1994-07-01,64.23140342383893,75.9299747618959,45.56858924427848,56.01105555262463,67.15342416156537,72.83958378214753,1994,7
1994-08-01,66.56151662491212,77.68318613316526,46.585767466206036,57.49680765284026,73.32776599482666,74.88181510314233,1994,8
1994-09-01,69.6027230873487,78.82795497489361,49.93611145831326,60.193837214037586,80.49955716417495,77.91421918583157,1994,9
1994-10-01,70.26375943606668,79.21184830069045,52.01494170084683,61.65343989983892,78.99701312732674,78.90439194752601,1994,10
1994-11-01,73.60393946885648,82.975197114151,53.167473929496396,61.136364711118276,88.30944073787187,86.26880186262844,1994,11
1994-12-01,73.31867905351876,78.85841380165958,55.021967260060265,62.707790824890914,88.62378411042073,90.78646508785934,1994,12
