Domain Code,Domain,Area Code (M49),country,Element Code,element,Item Code (CPC),item,Year Code,year,Months Code,month,unit,value,flag,flag_description,iso3,is_imputed,is_outlier,ffpi_food,ffpi_meat,ffpi_dairy,ffpi_cereals,ffpi_oils,ffpi_sugar,food_import_pct,ghi_2025
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1991,1991,7021,Annual value,USD,3768.6,A,Official figure,AUS,False,False,62.34528439011702,81.47466716487295,45.46032558544059,57.863819886673106,49.00795416086814,55.480617553691815,5.21988857452739,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1992,1992,7021,Annual value,USD,3636.8,A,Official figure,AUS,False,False,64.22555868464649,78.38728862271715,54.8015933451503,60.9576514895015,52.991996389394096,56.04274688194544,5.04326421093316,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1993,1993,7021,Annual value,USD,3506.8,A,Official figure,AUS,False,False,62.259404847966515,75.01403295972897,48.61651615517863,59.01858803408094,53.966480634247155,62.03019780031652,4.98707923344647,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1994,1994,7021,Annual value,USD,4730.4,A,Official figure,AUS,False,False,67.26054679350919,76.29710199787732,47.42020205529957,61.936823654585105,71.86775375736012,74.94370090074824,4.99933415639271,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1995,1995,7021,Annual value,USD,4203.0,A,Official figure,AUS,False,False,76.8287850116353,85.24932673337705,62.72510536671231,70.8474665240566,79.95838810789446,82.19981067004032,4.95654793299687,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1996,1996,7021,Annual value,USD,6229.1,A,Official figure,AUS,False,False,77.82086308655745,84.34557234442748,61.619550783954395,83.65592765127325,69.93519294281285,73.98962818765723,4.85290173072787,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1997,1997,7021,Annual value,USD,4928.1,A,Official figure,AUS,False,False,70.75682380399682,79.31706264103354,59.44728416757198,66.51116723257967,70.68473461622513,70.38581190707349,4.91017735786183,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1998,1998,7021,Annual value,USD,3951.4,A,Official figure,AUS,False,False,64.8237651326436,66.27116245186038,55.776184862258724,58.90385220966683,83.88543382429606,55.22279355165295,4.73775638168852,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",1999,1999,7021,Annual value,USD,3335.6,A,Official figure,AUS,False,False,55.38494745729497,62.42928865091984,48.31192059218944,53.12085523046289,58.22698225943004,38.798878860400684,4.80438445813991,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2000,2000,7021,Annual value,USD,2632.1,A,Official figure,AUS,False,False,53.658254311091945,61.295380665724906,54.46468606873116,51.41600714746175,42.89305770905415,50.612781624475126,4.5542072874505,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2001,2001,7021,Annual value,USD,2239.5,A,Official figure,AUS,False,False,55.353759430433776,62.905581984538294,60.88469474046613,51.84540600513508,42.481465934354574,53.47099426092313,4.94222006021166,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2002,2002,7021,Annual value,USD,2396.0,A,Official figure,AUS,False,False,53.432698046969534,56.102316657369585,46.09884987045724,55.57542707086668,55.144333609249486,42.632850317668414,4.86917660836693,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2003,2003,7021,Annual value,USD,3599.4,A,Official figure,AUS,False,False,58.11559303636253,59.31684044946804,54.48407776395476,59.38331088130321,62.630981044686195,43.854657616127014,5.13440054748237,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2004,2004,7021,Annual value,USD,4515.5,A,Official figure,AUS,False,False,65.89944729053757,68.6029390549955,69.84888089256499,64.00158065193195,69.61163025660183,44.346000561265534,4.80423147775813,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2005,2005,7021,Annual value,USD,4979.1,A,Official figure,AUS,False,False,67.6467997866706,72.57908938487195,77.21006263097178,60.766594200041034,64.39872945308146,61.19575106393876,4.74464612990827,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2006,2006,7021,Annual value,USD,6333.0,A,Official figure,AUS,False,False,72.85198153556445,71.39005672414655,73.05336517091054,71.22837696143655,70.5451171722111,91.39314395266837,4.77072459573134,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2007,2007,7021,Annual value,USD,5991.3,A,Official figure,AUS,False,False,94.55025065074518,77.75672729408136,122.39946263841763,100.90811631831873,107.3148060387481,62.36914297123817,5.03584938131912,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2009,2009,7021,Annual value,USD,3852.8,A,Official figure,AUS,False,False,91.78785298482406,81.60267222893671,91.405730315563,97.1899325654129,94.42735946277953,112.2254832184969,5.59123716369561,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2011,2011,7021,Annual value,USD,5115.2,A,Official figure,AUS,False,False,131.77593256915614,105.02246669637043,129.89070190611824,142.15740841093506,156.4798891014947,160.90057382271044,5.14219569199562,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2012,2012,7021,Annual value,USD,4328.0,A,Official figure,AUS,False,False,122.75022327595461,104.69498650707051,111.65677557794167,137.3983528628098,138.30661545629084,133.31863424562349,5.05458500868273,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2013,2013,7021,Annual value,USD,5356.0,A,Official figure,AUS,False,False,120.14390446093925,106.21599274087434,140.90691300197804,129.1108717873773,119.49987300357218,109.45334619156017,5.68920960549791,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2014,2014,7021,Annual value,USD,5571.7,A,Official figure,AUS,False,False,114.98315043593857,112.11017428857667,130.20652445334494,115.8182908031581,110.6162614969274,105.19538929713728,6.19615490124291,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2015,2015,7021,Annual value,USD,6110.8,A,Official figure,AUS,False,False,93.0638125181246,96.78279749075053,87.1451487854646,95.87342014077292,89.94109402113435,83.1811851391223,6.56255914980785,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2016,2016,7021,Annual value,USD,7143.1,A,Official figure,AUS,False,False,91.95303704593685,91.10702822067289,82.64832676119045,88.30828905606897,99.44264448193826,111.62342556374044,7.10054987790893,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2017,2017,7021,Annual value,USD,5244.7,A,Official figure,AUS,False,False,97.9325465965461,97.47103081764828,108.01127219003995,90.98426329355082,101.90947584276995,99.11220417429126,6.48222765314289,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2018,2018,7021,Annual value,USD,4753.4,A,Official figure,AUS,False,False,95.75177402259017,94.39851038295467,107.2716875332135,100.82233026984352,87.76107702264312,77.40205315573543,6.52594691958162,
PP,Producer Prices,36,Australia,5532,Producer Price (USD/tonne),01371,"Almonds, in shell",2019,2019,7021,Annual value,USD,5192.9,A,Official figure,AUS,False,False,94.93129436453303,99.4754122501492,102.81578202753263,96.60386371200734,83.23927616454294,78.61501498294437,7.16469389675818,
