country_ghi,ghi_2000,ghi_2008,ghi_2016,ghi_2025,ghi_abs_change,ghi_pct_change,iso3
Nigeria,38.2,32.3,29.9,32.8,2.8999999999999986,8.8,NGA
North Macedonia,7.4,5.5,,,—,—,MKD
Oman,16.2,10.2,12.0,10.2,-1.8000000000000007,-17.6,OMN
Pakistan,36.2,32.3,25.4,26.0,0.6000000000000014,2.3,PAK
Panama,17.3,12.3,9.2,7.5,-1.6999999999999993,-22.7,PAN
Papua New Guinea,31.3,32.8,31.9,31.0,-0.8999999999999986,-2.9,PNG
Paraguay,12.8,8.3,5.2,5.2,0,0,PRY
Peru,21.1,12.9,8.0,7.2,-0.7999999999999998,-11.1,PER
Philippines,23.9,21.4,17.7,13.4,-4.299999999999999,-32.1,PHL
Qatar,,,,,—,—,QAT
Romania,8.1,6.0,,,—,—,ROU
Russian Federation,10.6,6.0,5.5,,—,—,RUS
Rwanda,49.7,36.4,28.2,21.7,-6.5,-30,RWA
Saudi Arabia,10.1,8.5,6.6,5.9,-0.6999999999999993,-11.9,SAU
Senegal,32.5,20.9,16.8,15.6,-1.200000000000001,-7.7,SEN
Serbia,,5.3,,,—,—,SRB
Sierra Leone,57.8,41.1,32.4,28.5,-3.8999999999999986,-13.7,SLE
Slovakia,5.3,,,,—,—,SVK
Solomon Islands,18.9,18.8,21.8,20.4,-1.4000000000000021,-6.9,SLB
Somalia,64.3,60.5,49.4,42.6,-6.799999999999997,-16,SOM
South Africa,17.1,16.4,12.9,15.1,2.1999999999999993,14.6,ZAF
South Sudan,,,,37.5,—,—,SSD
Sri Lanka,22.1,17.6,14.1,11.2,-2.9000000000000004,-25.9,LKA
Sudan,,,27.5,,—,—,SDN
Suriname,14.9,10.4,10.8,10.4,-0.40000000000000036,-3.8,SUR
Syrian Arab Republic,14.8,17.0,23.7,30.6,6.900000000000002,22.5,SYR
Tajikistan,39.3,26.9,15.3,12.8,-2.5,-19.5,TJK
Tanzania (United Rep. of),40.3,29.4,24.7,21.1,-3.599999999999998,-17.1,TZA
Thailand,17.5,12.3,10.4,9.7,-0.7000000000000011,-7.2,THA
Timor-Leste,,42.2,30.5,28.0,-2.5,-8.9,TLS
Togo,37.6,27.7,24.7,17.3,-7.399999999999999,-42.8,TGO
Trinidad & Tobago,11.2,11.0,9.7,11.0,1.3000000000000007,11.8,TTO
Tunisia,9.1,7.6,6.1,6.2,0.10000000000000053,1.6,TUN
Türkiye,14.8,6.9,,,—,—,TUR
Turkmenistan,19.9,14.3,10.2,9.7,-0.5,-5.2,TKM
Uganda,36.0,28.6,29.1,20.2,-8.900000000000002,-44.1,UGA
Ukraine,12.8,10.0,9.7,10.4,0.7000000000000011,6.7,UKR
United Arab Emirates,,,,,—,—,ARE
Uruguay,7.9,,,,—,—,URY
Uzbekistan,25.7,12.7,5.7,,—,—,UZB
Venezuela (Boliv. Rep. of),14.3,8.7,14.2,9.6,-4.6,-47.9,VEN
Viet Nam,25.7,19.7,14.1,11.1,-3,-27,VNM
Yemen,,,,,—,—,YEM
Zambia,51.2,41.4,31.7,29.6,-2.099999999999998,-7.1,ZMB
Zimbabwe,35.5,29.6,27.2,20.9,-6.300000000000001,-30.1,ZWE
