"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0706785731483","23.8069590469182","21.648868835819","22.2848984519249","22.9445571152139","6.35970695159188","21.7320221737387","19.6738420144355","21.7327582390724","27.4646038578671","31.8369020580623","27.9424900500703","31.4663981938323","31.7030667729965","27.9182993144845","30.5727581700854","29.8719594976999","29.5638283888615","27.7702538684234","28.4542768404672","30.6104207883563","33.5021292242267","32.2457402016937","30.7454723493872","","",
"Africa Eastern and Southern","AFE","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","7.93518414427501","8.30222197036376","7.75383906478071","","","","","","","10.9745537325037","","","","","","","","","","10.2618262176272","9.9808864135813","9.38919070332171","9.0370608650995","8.84561918463637","9.30857212084233","9.52844332368306","9.80935627516651","11.1090868547739","9.8695549761955","8.59321301464126","8.57437453789804","9.34512677142495","9.65056366334789","10.3990389681914","10.8105839659005","10.9611106388956","11.0869655465871","10.3278888185882","10.2514151427523","10.1616383745745","12.3726875535216","12.1989630519744","11.7000945472299","10.8048574078565","12.973367339327","12.58837795341","11.4089704628017","10.6450411072515","10.9169797156339","",
"Afghanistan","AFG","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","7.83526679894446","13.1198638928934","17.3358407967507","17.099850581365","20.8006767904764","20.8816634027342","16.00906677632","20.5806444720536","20.5416003093413","25.4323707121459","28.4641730095204","23.8652945048808","22.8817141890948","24.423571594431","16.3241264867917","15.3513858405288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8526978297014","18.2936160921169","13.6918477995859","14.0292708513797","4.27602344633308","7.54684020369565","9.51326053298309","19.2271236461949","23.5599976538184","36.7934457407199","34.0330576607125","26.9158389109364","","","","","","",
"Africa Western and Central","AFW","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","18.0329623721956","16.41342911311","15.5923134085116","14.1237678276467","15.9349039520446","15.6311642722092","14.9407151181389","14.1054682875294","15.8834040006439","14.9682728954898","16.2160644099086","17.1927290163539","17.0610992367702","13.6875884894846","12.7302828623416","14.2351373231137","16.0346137926223","16.9191766159751","","17.1384305311835","","20.4453037811655","","","","","","","","","","","","","17.5351427828267","17.7007367018465","19.4905441538134","22.9356849585997","19.1009032899749","21.0549947071955","20.811945427289","18.5581309771574","","","18.5444788728113","18.1585070669505","14.7719919338503","16.2295053637161","14.0232778645209","22.8179032089348","18.9680695594539","17.2738237537539","17.1936076654781","16.6164380939312","16.1363383510829","18.9432628157367","16.7220163548222","16.2943756069863","19.7582489462856","19.253152532176","16.2689415686843","15.3243806866191","","",
"Angola","AGO","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","19.341475761938","","","","","","","15.1310872822905","15.6796214496573","13.39212281824","11.8308829041115","13.0863058964029","14.3738539630869","","","","","","","","","","","32.4960490980796","","","","","","","","","","","","","","","","","","","","","","16.0130411206913","13.7747753460474","13.5034728472044","15.2317774101968","18.5961209830809","20.0679144054906","17.7540189586108","16.9800788875661","13.1856290907877","13.7148613995916","17.7351790914195","20.4742098971902","19.7878114318642","22.7679187377981","18.3271316794408","17.8999629886485","14.4443926524951","15.7475332353735","",
"Albania","ALB","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2713500402147","27.1806727179409","26.9408204433479","27.3598044929082","21.8344894406933","19.3800309935046","20.1725298479794","19.6256029620736","19.264186578718","16.2430261779039","19.966386211139","16.4344906715054","16.432549004634","17.0873895391181","17.9466511524468","16.6310046164083","17.3068859759508","17.7209865684087","10.3265557525508","14.497356865351","14.1497507610425","14.8580988702112","14.0435873264872","14.9471165333016","16.3673297212341","14.2646728733737","11.6633351612072","16.077738075903","16.602918660023","",
"Andorra","AND","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6743285169743","29.0834921549592","30.3978806021849","22.9812748983497","21.0374266731269","19.9249060942022","20.085335631578","19.3467105857586","18.8800094522871","18.1626894188418","","18.7713082461553","17.9481852329508","20.1521918311349","21.6648033154619","22.0798883047632","22.3874907984281","23.4655357638709","23.7880885640999","23.2800062709304","23.5068469290149","23.466714070114","22.8305098145173","22.1275286080598","22.6442346858441","20.0564991820747","21.2245286993877","20.6997363956857","21.39859180226","","",
"Arab World","ARB","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","14.0850988967444","14.6236914741845","15.8938488311619","15.8003494701303","14.1535768453641","14.9548748599706","","","","","","","","","15.3854064902118","14.9803886870022","","","","","","16.1432642222261","15.209646261855","14.2388301241706","13.9077411540998","13.5474654966131","12.7581469156261","11.8948128211003","11.3464940918669","11.9832994181287","11.3567662889134","11.8862546941458","12.2834715913948","13.2611638009296","12.1960327399784","11.4729296714402","11.9979628801626","12.2352414132102","13.3580311339777","13.427256008227","13.0053907396525","12.3286748818153","13.6337450204618","12.1955592396535","12.4591039502937","11.6922951398695","","",
"United Arab Emirates","ARE","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","11.0069833688991","10.8945263539558","11.1169792986763","10.6510162672479","9.56086299062648","12.2516542452435","","","","","","","","17.1555915494262","16.1180343531375","14.8763209524744","","","","","","11.2648613713545","11.0848261616965","9.75168938439653","7.7568033508315","7.38746300457042","6.41696667915418","6.64552534274367","6.39971702348984","6.01635974732151","6.05688256373793","6.1447783422932","6.00656231464003","6.51232628789495","5.89138072219693","5.04314244016449","5.52683313407757","5.78591921199886","5.91080832504944","6.99707888598958","7.30579317402429","6.18405146475468","6.82659326418843","5.35670321702564","5.58446625724263","4.98896751809272","","",
"Argentina","ARG","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","","","3.89352505199727","4.13659507747678","5.90513059717013","6.5068809086247","6.65772759473769","6.58288376847721","5.50863981439474","6.81812291536465","5.82383922615393","5.0483696753398","6.46203456245042","9.24388230143468","4.75916786069586","4.5602070410893","4.75687969547438","5.28456961824936","5.65960040903596","7.14199334069061","5.67211544734954","4.99348223248526","4.40776705762262","3.86375449049171","4.514638549706","4.71657369165189","6.89167240737623","4.56200787428644","","","","","5.97842411999106","5.44556757395568","5.19108730969174","5.46757452429963","4.92520013332918","5.32102457254496","4.93499848181451","4.91875848706901","5.0134709929318","5.72428376826837","4.6330285978847","4.20128711940575","3.30307730186729","2.83873915468007","2.58446169118103","3.70036471906305","4.54066028581729","3.77097613295672","2.62132821938635","2.39679838244135","2.4908540445875","2.28184604481127","2.42165429166184","2.64277941815046","3.62640682233261","4.17929787657057","6.86536216997546","6.48775553466309","8.76556056157932","7.53338967292266","5.90818914522675","10.6683998553206","9.08353316619338","",
